frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
2810,351.95,301.94,97.06,69,40,79
2820,349.91,276.85,96.14,69,40,79
2830,344.49,248.70,95.75,69,40,79
2840,336.24,219.84,95.02,69,40,79
2850,325.95,190.27,93.83,69,40,79
2860,314.76,161.35,92.11,69,40,79
2870,302.32,133.82,88.22,69,40,79
2880,288.09,108.13,82.72,69,40,79
2890,272.18,84.33,77.77,69,40,79
2900,254.89,66.54,73.34,69,40,79
2910,234.48,59.83,70.00,69,40,79
2920,214.40,57.94,67.91,69,40,79
2930,198.55,67.96,66.92,69,38,79
2940,190.37,93.46,66.75,69,37,79
2950,187.73,123.65,67.09,69,37,79
2960,188.94,147.28,67.61,69,37,79
2970,193.30,161.42,66.85,69,37,79
2980,196.90,176.00,63.53,69,37,79
2990,197.21,194.70,59.63,69,37,79
3000,193.40,220.14,59.30,69,37,79
3010,185.21,247.26,61.26,69,37,79
3020,175.81,272.66,63.68,69,37,79
3030,166.63,294.92,64.97,69,37,79
3040,152.90,315.07,61.91,69,37,79
3050,136.40,333.34,55.97,69,37,79
3060,123.07,349.32,51.75,69,37,79
3070,114.49,363.70,49.82,69,37,79
3080,112.65,375.98,49.53,69,37,79
3090,118.99,386.07,53.30,69,37,79
3100,131.09,394.20,59.95,68,37,79
3110,146.45,403.38,66.82,68,37,79
3120,162.58,404.20,72.60,68,36,79
3130,177.18,402.63,74.75,68,36,79
3140,191.82,387.97,74.97,68,36,79
3150,205.02,370.45,75.70,68,36,79
3160,212.66,352.57,78.37,68,36,79
3170,214.48,334.41,87.02,68,36,79
3180,213.42,317.22,106.67,68,36,79
3190,210.72,302.71,128.94,68,36,79
3200,206.73,289.10,147.61,68,36,79
3210,201.86,271.29,166.36,68,36,79
3220,196.46,249.06,187.10,68,36,78
3230,192.02,230.15,205.65,68,36,77
3240,189.39,215.89,223.13,68,36,76
3250,188.62,204.08,231.40,68,36,73
3260,188.54,195.62,234.39,68,36,72
3270,188.05,192.19,234.28,68,36,72
3280,184.67,197.67,221.92,68,36,72
3290,176.81,206.03,198.39,68,36,71
3300,171.65,213.88,176.37,68,36,71
3310,170.48,221.23,152.83,68,36,71
3320,172.78,233.78,128.89,68,36,71
3330,175.99,247.91,106.02,68,36,71
3340,176.63,260.14,87.40,67,36,71
3350,180.62,273.43,76.07,67,36,71
3360,184.23,289.44,71.22,67,36,71
3370,188.18,309.24,70.36,67,36,71
3380,193.23,331.92,71.65,66,36,71
3390,196.60,357.19,74.18,65,36,71
3400,199.68,385.02,77.43,65,36,71
3410,203.48,414.39,81.79,65,36,71
3420,204.89,443.78,87.09,65,36,71
3430,205.33,470.98,94.10,65,36,71
3440,204.71,488.45,102.50,65,35,71
3450,201.16,502.44,111.05,65,35,71
3460,192.26,509.28,119.91,65,35,71
3470,181.09,509.97,129.96,65,35,71
3480,174.22,499.90,140.18,65,35,71
3490,171.10,479.68,149.04,65,35,71
3500,169.06,459.28,153.15,65,35,71
3510,168.65,440.09,150.69,65,35,71
3520,173.78,423.15,146.98,65,35,71
3530,182.13,406.50,143.38,65,35,71
3540,192.17,388.92,140.53,65,35,71
3550,203.59,372.76,137.81,65,35,71
